call_id,channel,segment_id,start_time,end_time,text
en_AU_Health_1591532,channel1,29,142.04,145.4,"not getting bored, we do switch up the timing."
en_AU_Health_1591532,channel1,30,145.4,150.88,"So without keeping you on your toes, that could be say a 60 second cardio sesh"
en_AU_Health_1591532,channel1,31,150.88,157.92,"followed by a 45 seconds weight sesh, followed by 15 second mystery movement"
en_AU_Health_1591532,channel1,32,157.92,159.44,without giving too much away.
en_AU_Health_1591532,channel1,33,159.44,163.4,"Could be bad piece, not saying this, not saying it isn't, but we do like to change"
en_AU_Health_1591532,channel1,34,163.4,167.6,things up here at F45 just so it doesn't become repetitive and boring.
en_AU_Health_1591532,channel1,35,167.6,170.76,Is that something like the type of gym that you're looking to be a part of?
en_AU_Health_1591532,channel1,36,170.76,173.56,"Well, actually, before you do go on, I won't call it a gym."
en_AU_Health_1591532,channel1,37,173.56,175.2,I'm going to call it a lifestyle change for you.
en_AU_Health_1591532,channel1,38,210.88,225.0,"Well, you've hit the burpee on the head that what we do here at F45 is help you avoid the"
en_AU_Health_1591532,channel1,39,225.0,226.6,three unknowns.
en_AU_Health_1591532,channel1,40,226.6,232.0,"So get your pen and paper, or if you've got your worked out memory, get listening."
en_AU_Health_1591532,channel1,41,232.0,234.08,So we help you avoid the unknown.
en_AU_Health_1591532,channel1,42,234.08,240.84,"So that's not knowing how to use the equipment, not knowing how to do a dumbbell lift on"
en_AU_Health_1591532,channel1,43,240.88,243.52,not knowing how to do a chin up or a pull out.
en_AU_Health_1591532,channel1,44,243.52,246.12,"Yes, there's a difference that you will learn that."
en_AU_Health_1591532,channel1,45,246.12,252.68,The second unknown is the unknown of actually how to use equipment.
en_AU_Health_1591532,channel1,46,252.96,258.92,And the third thing that we help you avoid is the the toxic masculinity that
en_AU_Health_1591532,channel1,47,258.92,261.84,traditionally comes with your everyday gym.
en_AU_Health_1591532,channel1,48,262.16,265.88,"Like we all know too well, but you go in there, there's mirrors everywhere"
en_AU_Health_1591532,channel1,49,265.88,269.44,and there's people taking selfies of themselves on the equipment that you're
en_AU_Health_1591532,channel1,50,269.44,271.72,just trying to use even though you may not know how to use it.
en_AU_Health_1591532,channel1,51,300.44,301.76,"Yeah, definitely."
en_AU_Health_1591532,channel1,52,301.76,306.56,"Well, we do a thing called Go Free Sundays, and it is one of my my favorite"
en_AU_Health_1591532,channel1,53,306.56,309.64,"days of the week, not just because it's the start and we have a whole nother"
en_AU_Health_1591532,channel1,54,309.64,314.36,"six days of workouts to look forward to, but you can attend any one of our"
en_AU_Health_1591532,channel1,55,314.36,318.04,"sessions for free and bring a friend, bring two friends, break three friends,"
en_AU_Health_1591532,channel1,56,318.04,319.04,if you like.
en_AU_Health_1591532,channel1,57,319.04,323.44,"And to make it even sweeter, we do have a live DJ on Sundays just to"
en_AU_Health_1591532,channel1,58,323.44,325.12,really get that blood pumping.
en_AU_Health_1591532,channel1,59,325.12,329.52,"Before you start to smash that iron, smash those calories, you know,"
en_AU_Health_1591532,channel1,60,329.52,333.8,"but it may sound intense, it may sound a little full on, but it's all"
en_AU_Health_1591532,channel1,61,333.8,334.8,about the community.
en_AU_Health_1591532,channel1,62,334.8,341.24,"Like once every quarter, like we have a community drinks, like, mind you,"
en_AU_Health_1591532,channel1,63,341.24,345.72,"they're probably going to be the skinny bitch is a vodka soda, because"
en_AU_Health_1591532,channel1,64,345.72,348.2,we don't want to undo all that work that we will just strive
en_AU_Health_1591532,channel1,65,348.2,349.2,so hard to achieve.
en_AU_Health_1591532,channel1,66,350.2,353.2,"But just with that, I think we're going to have a lot of fun."
en_AU_Health_1591532,channel1,67,353.44,359.48,"But just making to membership plans and prices, because we do offer"
en_AU_Health_1591532,channel1,68,359.48,362.92,"such an exclusive experience, it's something to really help you get"
en_AU_Health_1591532,channel1,69,362.92,367.52,that ground knowledge of just where to work out how to do what we do
en_AU_Health_1591532,channel1,70,367.52,372.48,offer a minimum 12 month contract paid fortnightly of $144.
en_AU_Health_1591532,channel1,71,383.2,398.8,"Well, that's the beauty with 45 memberships is even though it may seem"
en_AU_Health_1591532,channel1,72,398.8,402.56,"like a straight membership, we include everything that you could possibly"
en_AU_Health_1591532,channel1,73,402.56,403.56,need.
en_AU_Health_1591532,channel1,74,403.56,406.72,"So class sizes are already limited to 10 people, which effectively is"
en_AU_Health_1591532,channel1,75,406.72,408.4,like a personal training session.
en_AU_Health_1591532,channel1,76,408.4,413.44,"When you think of it, 45 minute session divided by 10 people, you're"
en_AU_Health_1591532,channel1,77,413.44,415.68,still going to get that one on one time.
en_AU_Health_1591532,channel1,78,415.68,418.68,We do have that real personal level of service.
en_AU_Health_1591532,channel1,79,418.68,421.2,"We will be able to spot you if you're doing something wrong, but"
en_AU_Health_1591532,channel1,80,421.2,423.2,you won't be doing anything wrong because we would have already shown
en_AU_Health_1591532,channel1,81,423.2,424.88,"you the drill, right?"
en_AU_Health_1591532,channel1,82,424.88,426.16,And every member that joins up.
en_AU_Health_1591532,channel1,83,426.16,429.0,We do give you a little F45 goodie bag.
en_AU_Health_1591532,channel1,84,429.0,433.0,"And that includes a gym towel, a backpack, a heart rate monitor,"
en_AU_Health_1591532,channel1,85,433.0,436.72,"as well as a really cool PVA free water bottle, which everybody"
en_AU_Health_1591532,channel1,86,436.8,438.6,seems to love dish was to save.
en_AU_Health_1591532,channel1,87,438.6,439.6,Amazing.
en_AU_Health_1591532,channel1,88,439.6,441.76,So you can even chuck your protein shake in that.
en_AU_Health_1591532,channel1,89,441.76,446.92,"And better yet, it includes full access to our F45 app."
en_AU_Health_1591532,channel1,90,446.92,450.56,So that includes all of the workouts that are displayed on screen
en_AU_Health_1591532,channel1,91,450.56,454.4,"that you would traditionally see in a classroom, but in an app."
en_AU_Health_1591532,channel1,92,454.4,457.04,"So even if you're away, you don't need to worry about pausing"
en_AU_Health_1591532,channel1,93,457.04,460.2,"your membership, you can just play the video, follow along at home."
en_AU_Health_1591532,channel1,94,460.2,462.8,And it also includes a full meal plan.
en_AU_Health_1591532,channel1,95,462.8,464.8,So it's like having a chef in your pocket.
en_AU_Health_1591532,channel1,96,467.72,470.72,"So that's the million dollar question, right?"
en_AU_Health_1591532,channel1,97,470.72,473.72,"It could be like, how many times could I make Donalds until I start"
en_AU_Health_1591532,channel1,98,473.72,474.72,to show weight gain?
en_AU_Health_1591532,channel1,99,474.72,478.72,It really depends on your individual circumstances.
en_AU_Health_1591532,channel1,100,478.72,482.72,But if you like me and you are committed to the meal plan
en_AU_Health_1591532,channel1,101,482.72,485.72,attending three or four times a week for just 45 minutes each
en_AU_Health_1591532,channel1,102,485.72,488.72,"time, I can guarantee that you will start to see results"
en_AU_Health_1591532,channel1,103,488.72,490.72,within one to two weeks.
en_AU_Health_1591532,channel1,104,490.72,492.72,"So that's the million dollar question, right?"
en_AU_Health_1591532,channel1,105,492.72,495.72,I can guarantee that you will start to see results
en_AU_Health_1591532,channel1,106,495.72,497.72,within one to two months.
en_AU_Health_1591532,channel1,107,497.72,501.72,"And don't get me wrong, it may not be visible results,"
en_AU_Health_1591532,channel1,108,501.72,504.72,but you absolutely find yourself being able to move through
en_AU_Health_1591532,channel1,109,504.72,508.72,those workouts at a much faster pace without getting as much
en_AU_Health_1591532,channel1,110,508.72,510.72,fatigue and even recovery rates.
en_AU_Health_1591532,channel1,111,510.72,512.72,"Like the first time, I'm going to lie, you're going to be"
en_AU_Health_1591532,channel1,112,512.72,513.72,sore the next day.
en_AU_Health_1591532,channel1,113,513.72,517.72,We all know those 10 squat post workout pains.
en_AU_Health_1591532,channel1,114,517.72,520.72,"But the longer you go on and the more committed you are,"
en_AU_Health_1591532,channel1,115,520.72,524.72,"as you start to learn the exercise routines,"
en_AU_Health_1591532,channel1,116,524.72,526.72,it'll become second nature.
en_AU_Health_1591532,channel1,117,526.72,529.72,I personally do it at 5.45 in the morning.
en_AU_Health_1591532,channel1,118,529.72,531.72,And that way I'm not really even awake.
en_AU_Health_1591532,channel1,119,531.72,533.72,"And before I know it, the workouts are over."
en_AU_Health_1591532,channel1,120,533.72,536.72,And I'm set to the day my metabolism is moving.
en_AU_Health_1591532,channel1,121,550.72,561.72,"Yeah, absolutely."
en_AU_Health_1591532,channel1,122,561.72,564.72,"Well, by the sounds of it, you know where we are located"
en_AU_Health_1591532,channel1,123,564.72,566.72,on Chapel Street there in Windsor.
en_AU_Health_1591532,channel1,124,566.72,569.72,So why don't you pop in and just ask for Tom.
en_AU_Health_1591532,channel1,125,569.72,572.72,I'm one of two trainers that are going to be there for you.
en_AU_Health_1591532,channel1,126,572.72,575.72,So why don't you come in and give it a try.
en_AU_Health_1591532,channel1,127,575.72,577.72,And we can take it from there.
en_AU_Health_1591532,channel1,128,577.72,579.72,"And any more questions that you've got,"
en_AU_Health_1591532,channel1,129,579.72,584.72,we can sort it out there in the class.
en_AU_Health_1591532,channel1,130,584.72,587.72,"I'm there every, well, every day actually."
en_AU_Health_1591532,channel1,131,587.72,589.72,"I'm just giving them the two trainers,"
en_AU_Health_1591532,channel1,132,589.72,590.72,which is another benefit.
en_AU_Health_1591532,channel1,133,590.72,592.72,You're not going to be walking into the gym
en_AU_Health_1591532,channel1,134,592.72,594.72,and just seeing a random face every time.
en_AU_Health_1591532,channel1,135,594.72,595.72,Like we are the two trainers.
en_AU_Health_1591532,channel1,136,595.72,596.72,We're there for you.
en_AU_Health_1591532,channel1,137,596.72,599.72,"So yeah, feel free to pop in any day."
en_AU_Health_1591532,channel1,138,599.72,606.72,But Sunday is the day you can come and bring a friend for free.
en_AU_Health_1591532,channel1,139,607.72,608.72,Not a problem at all.
en_AU_Health_1591532,channel1,140,608.72,613.72,We're looking forward to getting pumps with you on Sunday.
en_AU_Health_1591532,channel1,141,613.72,614.72,Goodbye.
en_AU_Health_1591532,channel2,1,0.0,24.08,"Hi, Tom. My name is Laura. I was just kind of wondering about possibly signing up with"
en_AU_Health_1591532,channel2,2,24.08,32.72,"you guys and just kind of had a few questions if that's okay. Okay, so basically, I've kind of been"
en_AU_Health_1591532,channel2,3,32.72,38.4,"working out at gyms and just struggling a little bit, not really getting results. And I know that"
en_AU_Health_1591532,channel2,4,38.4,43.2,your gym kind of works a bit differently. So I'm hoping you can just kind of explain like what the
en_AU_Health_1591532,channel2,5,43.2,54.32,difference is off.
en_AU_Health_1591532,channel2,6,73.2,100.64,"Yeah, okay. So, sorry, I just want to clarify this because I'm just trying to get my head around it."
en_AU_Health_1591532,channel2,7,100.64,108.24,"So basically, like, I would come in, is it certain times, and then you'd go like and just do different"
en_AU_Health_1591532,channel2,8,108.24,114.96,exercises in like a circuit of like doing it a few times. And then that's it. It's just like a session
en_AU_Health_1591532,channel2,9,114.96,128.08,like that.
en_AU_Health_1591532,channel2,10,174.96,183.04,"I mean, yeah, definitely. Like, I think I feel a little bit lost when I go to my normal gym. Like,"
en_AU_Health_1591532,channel2,11,183.04,188.24,"I walk in there, there's equipment all over the place. I'm kind of left to my own devices."
en_AU_Health_1591532,channel2,12,188.96,194.88,And I do like I do go and like work out on things. But I guess it's kind of a bit tricky
en_AU_Health_1591532,channel2,13,194.88,198.88,because I don't know the best things that are best for me. And I just kind of go around to
en_AU_Health_1591532,channel2,14,198.88,205.2,"different machines. And yeah, I'm kind of not sure that I'm doing enough to get to me to where I"
en_AU_Health_1591532,channel2,15,205.2,210.72,"want to be. So I kind of leave and I feel a bit like, I don't know if this is working for me."
en_AU_Health_1591532,channel2,16,210.72,214.72,"And a lot of people keep talking about this gym and seem to think that it might have like,"
en_AU_Health_1591532,channel2,17,214.72,229.84,a better way for me to lose weight and focus on getting healthy.
en_AU_Health_1591532,channel2,18,274.72,279.12,"One of the things that really freaks me out when I go to the gym, I've been with my sister a few"
en_AU_Health_1591532,channel2,19,279.12,283.36,"times and we kind of go to use the equipment and get a bit scared off and just end up, you know,"
en_AU_Health_1591532,channel2,20,283.36,290.08,"on the treadmill or some kind of cardio machine where we feel a little bit safer. Look,"
en_AU_Health_1591532,channel2,21,290.08,296.4,this sounds really good. And I feel like it might be kind of up my alley. Is there like
en_AU_Health_1591532,channel2,22,296.4,300.96,"a way that you can come and try it out? And then also, could you tell me a little"
en_AU_Health_1591532,channel2,23,300.96,308.08,bit about what the membership options are and cost and stuff like that?
en_AU_Health_1591532,channel2,24,361.28,378.16,"Okay, yeah, not a problem. That doesn't sound too bad actually."
en_AU_Health_1591532,channel2,25,380.4,385.92,What else can I need to ask? Is there anything else included like with the membership? Because
en_AU_Health_1591532,channel2,26,385.92,392.72,"you know some memberships have like, I don't know, like a PTSD or something like that. Do you guys have"
en_AU_Health_1591532,channel2,27,392.72,401.52,anything or is it just the straight membership?
en_AU_Health_1591532,channel2,28,452.72,473.52,"Wow, that sounds amazing. How long would you say that people usually start to see results that,"
en_AU_Health_1591532,channel2,29,473.52,482.32,"you know, this kind of training?"
en_AU_Health_1591532,channel2,30,533.68,543.84,"Wow, this sounds great. Look, I think I'm definitely keen to come and give this a go where I'm at just"
en_AU_Health_1591532,channel2,31,543.84,551.12,"not working for me. So I think it's time for a change. So yeah, I mean, what's kind of the basic"
en_AU_Health_1591532,channel2,32,551.12,557.52,next steps is just signing up. But can I come and try it out first and then give you guys
en_AU_Health_1591532,channel2,33,557.52,565.52,a call back once I've had a go and just make sure that it is right for me?
en_AU_Health_1591532,channel2,34,565.52,585.52,"Okay, great. That sounds good. What day are you in?"
en_AU_Health_1591532,channel2,35,595.84,607.76,"Okay, that sounds good. I'll do that. Well, I'll see you soon then, Tom. Thanks so much."
en_AU_Health_1591532,channel2,36,612.48,621.52,Sounds good. Take care.
